date	inst	party	value
2013-09-04	Forsa	afd	4.0
2013-09-04	Forsa	lin	9.0
2013-09-04	Forsa	son	5.0
2013-09-04	Forsa	fdp	5.0
2013-09-04	Forsa	rep	
2013-09-04	Forsa	pir	3.0
2013-09-04	Forsa	spd	23.0
2013-09-01	Emnid	gru	11.0
2013-09-01	Emnid	cdu	39.0
2013-09-01	Emnid	afd	3.0
2013-09-01	Emnid	lin	10.0
2013-09-01	Emnid	son	5.0
2013-09-01	Emnid	fdp	6.0
2013-09-01	Emnid	rep	
2013-09-01	Emnid	pir	3.0
2013-09-01	Emnid	spd	23.0
2013-08-29	Infratestdimap	gru	11.0
2013-08-29	Infratestdimap	cdu	41.0
2013-08-29	Infratestdimap	afd	3.0
2013-08-29	Infratestdimap	lin	8.0
2013-08-29	Infratestdimap	son	6.0
2013-08-29	Infratestdimap	fdp	5.0
2013-08-29	Infratestdimap	rep	
2013-08-29	Infratestdimap	pir	
2013-08-29	Infratestdimap	spd	26.0
2013-08-29	FGW	gru	12.0
2013-08-29	FGW	cdu	41.0
2013-08-29	FGW	afd	3.0
2013-08-29	FGW	lin	7.0
2013-08-29	FGW	son	5.0
2013-08-29	FGW	fdp	6.0
2013-08-29	FGW	rep	
2013-08-29	FGW	pir	
2013-08-29	FGW	spd	26.0
2013-08-28	Forsa	gru	11.0
2013-08-28	Forsa	cdu	41.0
2013-08-28	Forsa	afd	3.0
2013-08-28	Forsa	lin	10.0
2013-08-28	Forsa	son	5.0
2013-08-28	Forsa	fdp	5.0
2013-08-28	Forsa	rep	
2013-08-28	Forsa	pir	3.0
2013-08-28	Forsa	spd	22.0
2013-08-25	Emnid	gru	12.0
2013-08-25	Emnid	cdu	40.0
2013-08-25	Emnid	afd	3.0
2013-08-25	Emnid	lin	8.0
2013-08-25	Emnid	son	4.0
2013-08-25	Emnid	fdp	5.0
2013-08-25	Emnid	rep	
2013-08-25	Emnid	pir	3.0
2013-08-25	Emnid	spd	25.0
2013-08-23	FGW	gru	13.0
2013-08-23	FGW	cdu	41.0
2013-08-23	FGW	afd	
2013-08-23	FGW	lin	8.0
2013-08-23	FGW	son	7.0
2013-08-23	FGW	fdp	6.0
2013-08-23	FGW	rep	
2013-08-23	FGW	pir	
2013-08-23	FGW	spd	25.0
2013-08-21	Forsa	gru	13.0
2013-08-21	Forsa	cdu	41.0
2013-08-21	Forsa	afd	2.0
2013-08-21	Forsa	lin	8.0
2013-08-21	Forsa	son	5.0
2013-08-21	Forsa	fdp	6.0
2013-08-21	Forsa	rep	
2013-08-21	Forsa	pir	3.0
2013-08-21	Forsa	spd	22.0
2013-08-20	GMS	gru	12.0
2013-08-20	GMS	cdu	41.0
2013-08-20	GMS	afd	1.0
2013-08-20	GMS	lin	8.0
2013-08-20	GMS	son	4.0
2013-08-20	GMS	fdp	6.0
2013-08-20	GMS	rep	
2013-08-20	GMS	pir	3.0
2013-08-20	GMS	spd	25.0
2013-08-18	Emnid	gru	12.0
2013-08-18	Emnid	cdu	40.0
2013-08-18	Emnid	afd	1.0
2013-08-18	Emnid	lin	8.0
2013-08-18	Emnid	son	5.0
2013-08-18	Emnid	fdp	6.0
2013-08-18	Emnid	rep	
2013-08-18	Emnid	pir	4.0
2013-08-18	Emnid	spd	24.0
2013-08-16	FGW	gru	13.0
2013-08-16	FGW	cdu	41.0
2013-08-16	FGW	afd	
2013-08-16	FGW	lin	8.0
2013-08-16	FGW	son	5.0
2013-08-16	FGW	fdp	5.0
2013-08-16	FGW	rep	
2013-08-16	FGW	pir	3.0
2013-08-16	FGW	spd	25.0
2013-08-15	Infratestdimap	gru	12.0
2013-08-15	Infratestdimap	cdu	42.0
2013-08-15	Infratestdimap	afd	
2013-08-15	Infratestdimap	lin	8.0
2013-08-15	Infratestdimap	son	5.0
2013-08-15	Infratestdimap	fdp	5.0
2013-08-15	Infratestdimap	rep	
2013-08-15	Infratestdimap	pir	3.0
2013-08-15	Infratestdimap	spd	25.0
2013-08-14	Forsa	gru	13.0
2013-08-14	Forsa	cdu	40.0
2013-08-14	Forsa	afd	3.0
2013-08-14	Forsa	lin	8.0
2013-08-14	Forsa	son	5.0
2013-08-14	Forsa	fdp	5.0
2013-08-14	Forsa	rep	
2013-08-14	Forsa	pir	3.0
2013-08-14	Forsa	spd	23.0
2013-08-11	Emnid	gru	13.0
2013-08-11	Emnid	cdu	41.0
2013-08-11	Emnid	afd	2.0
2013-08-11	Emnid	lin	8.0
2013-08-11	Emnid	son	3.0
2013-08-11	Emnid	fdp	5.0
2013-08-11	Emnid	rep	
2013-08-11	Emnid	pir	3.0
2013-08-11	Emnid	spd	25.0
2013-08-09	Infratestdimap	gru	13.0
2013-08-09	Infratestdimap	cdu	42.0
2013-08-09	Infratestdimap	afd	
2013-08-09	Infratestdimap	lin	7.0
2013-08-09	Infratestdimap	son	5.0
2013-08-09	Infratestdimap	fdp	5.0
2013-08-09	Infratestdimap	rep	
2013-08-09	Infratestdimap	pir	3.0
2013-08-09	Infratestdimap	spd	25.0
2013-08-07	Forsa	gru	14.0
2013-08-07	Forsa	cdu	40.0
2013-08-07	Forsa	afd	3.0
2013-08-07	Forsa	lin	7.0
2013-08-07	Forsa	son	5.0
2013-08-07	Forsa	fdp	5.0
2013-08-07	Forsa	rep	
2013-08-07	Forsa	pir	3.0
2013-08-07	Forsa	spd	23.0
2013-08-04	Emnid	gru	13.0
2013-08-04	Emnid	cdu	40.0
2013-08-04	Emnid	afd	2.0
2013-08-04	Emnid	lin	8.0
2013-08-04	Emnid	son	4.0
2013-08-04	Emnid	fdp	5.0
2013-08-04	Emnid	rep	
2013-08-04	Emnid	pir	3.0
2013-08-04	Emnid	spd	25.0
2013-08-02	FGW	gru	14.0
2013-08-02	FGW	cdu	40.0
2013-08-02	FGW	afd	
2013-08-02	FGW	lin	7.0
2013-08-02	FGW	son	7.0
2013-08-02	FGW	fdp	5.0
2013-08-02	FGW	rep	
2013-08-02	FGW	pir	
2013-08-02	FGW	spd	27.0
2013-08-01	Infratestdimap	gru	13.0
2013-08-01	Infratestdimap	cdu	42.0
2013-08-01	Infratestdimap	afd	
2013-08-01	Infratestdimap	lin	7.0
2013-08-01	Infratestdimap	son	7.0
2013-08-01	Infratestdimap	fdp	5.0
2013-08-01	Infratestdimap	rep	
2013-08-01	Infratestdimap	pir	
2013-08-01	Infratestdimap	spd	26.0
2013-07-31	Forsa	gru	13.0
2013-07-31	Forsa	cdu	41.0
2013-07-31	Forsa	afd	2.0
2013-07-31	Forsa	lin	8.0
2013-07-31	Forsa	son	8.0
2013-07-31	Forsa	fdp	5.0
2013-07-31	Forsa	rep	
2013-07-31	Forsa	pir	3.0
2013-07-31	Forsa	spd	22.0
2013-07-28	Emnid	gru	13.0
2013-07-28	Emnid	cdu	40.0
2013-07-28	Emnid	afd	3.0
2013-07-28	Emnid	lin	8.0
2013-07-28	Emnid	son	3.0
2013-07-28	Emnid	fdp	5.0
2013-07-28	Emnid	rep	
2013-07-28	Emnid	pir	3.0
2013-07-28	Emnid	spd	25.0
2013-07-25	Infratestdimap	gru	14.0
2013-07-25	Infratestdimap	cdu	42.0
2013-07-25	Infratestdimap	afd	2.0
2013-07-25	Infratestdimap	lin	7.0
2013-07-25	Infratestdimap	son	4.0
2013-07-25	Infratestdimap	fdp	4.0
2013-07-25	Infratestdimap	rep	
2013-07-25	Infratestdimap	pir	2.0
2013-07-25	Infratestdimap	spd	25.0
2013-07-24	Forsa	gru	12.0
2013-07-24	Forsa	cdu	41.0
2013-07-24	Forsa	afd	2.0
2013-07-24	Forsa	lin	9.0
2013-07-24	Forsa	son	5.0
2013-07-24	Forsa	fdp	5.0
2013-07-24	Forsa	rep	
2013-07-24	Forsa	pir	4.0
2013-07-24	Forsa	spd	22.0
2013-07-21	Emnid	gru	13.0
2013-07-21	Emnid	cdu	40.0
2013-07-21	Emnid	afd	2.0
2013-07-21	Emnid	lin	8.0
2013-07-21	Emnid	son	3.0
2013-07-21	Emnid	fdp	6.0
2013-07-21	Emnid	rep	
2013-07-21	Emnid	pir	3.0
2013-07-21	Emnid	spd	25.0
2013-07-19	Infratestdimap	gru	13.0
2013-07-19	Infratestdimap	cdu	41.0
2013-07-19	Infratestdimap	afd	3.0
2013-07-19	Infratestdimap	lin	7.0
2013-07-19	Infratestdimap	son	6.0
2013-07-19	Infratestdimap	fdp	4.0
2013-07-19	Infratestdimap	rep	
2013-07-19	Infratestdimap	pir	
2013-07-19	Infratestdimap	spd	26.0
2013-07-17	Forsa	gru	14.0
2013-07-17	Forsa	cdu	41.0
2013-07-17	Forsa	afd	2.0
2013-07-17	Forsa	lin	8.0
2013-07-17	Forsa	son	7.0
2013-07-17	Forsa	fdp	5.0
2013-07-17	Forsa	rep	
2013-07-17	Forsa	pir	2.0
2013-07-17	Forsa	spd	23.0
2013-07-16	GMS	gru	13.0
2013-07-16	GMS	cdu	41.0
2013-07-16	GMS	afd	2.0
2013-07-16	GMS	lin	7.0
2013-07-16	GMS	son	5.0
2013-07-16	GMS	fdp	5.0
2013-07-16	GMS	rep	
2013-07-16	GMS	pir	2.0
2013-07-16	GMS	spd	25.0
2013-07-14	Emnid	gru	12.0
2013-07-14	Emnid	cdu	41.0
2013-07-14	Emnid	afd	1.0
2013-07-14	Emnid	lin	7.0
2013-07-14	Emnid	son	4.0
2013-07-14	Emnid	fdp	5.0
2013-07-14	Emnid	rep	
2013-07-14	Emnid	pir	4.0
2013-07-14	Emnid	spd	26.0
2013-07-12	Infratestdimap	gru	14.0
2013-07-12	Infratestdimap	cdu	41.0
2013-07-12	Infratestdimap	afd	3.0
2013-07-12	Infratestdimap	lin	6.0
2013-07-12	Infratestdimap	son	6.0
2013-07-12	Infratestdimap	fdp	4.0
2013-07-12	Infratestdimap	rep	
2013-07-12	Infratestdimap	pir	
2013-07-12	Infratestdimap	spd	26.0
2013-07-12	FGW	gru	13.0
2013-07-12	FGW	cdu	41.0
2013-07-12	FGW	afd	3.0
2013-07-12	FGW	lin	7.0
2013-07-12	FGW	son	5.0
2013-07-12	FGW	fdp	5.0
2013-07-12	FGW	rep	
2013-07-12	FGW	pir	
2013-07-12	FGW	spd	26.0
2013-07-12	Allensbach	gru	12.5
2013-07-12	Allensbach	cdu	40.0
2013-07-12	Allensbach	afd	3.5
2013-07-12	Allensbach	lin	6.0
2013-07-12	Allensbach	son	4.0
2013-07-12	Allensbach	fdp	6.5
2013-07-12	Allensbach	rep	
2013-07-12	Allensbach	pir	2.0
2013-07-12	Allensbach	spd	25.5
2013-07-10	Forsa	gru	15.0
2013-07-10	Forsa	cdu	41.0
2013-07-10	Forsa	afd	2.0
2013-07-10	Forsa	lin	9.0
2013-07-10	Forsa	son	6.0
2013-07-10	Forsa	fdp	5.0
2013-07-10	Forsa	rep	
2013-07-10	Forsa	pir	2.0
2013-07-10	Forsa	spd	22.0
2013-07-07	Emnid	gru	12.0
2013-07-07	Emnid	cdu	42.0
2013-07-07	Emnid	afd	2.0
2013-07-07	Emnid	lin	8.0
2013-07-07	Emnid	son	3.0
2013-07-07	Emnid	fdp	4.0
2013-07-07	Emnid	rep	
2013-07-07	Emnid	pir	3.0
2013-07-07	Emnid	spd	26.0
2013-07-04	Infratestdimap	gru	14.0
2013-07-04	Infratestdimap	cdu	42.0
2013-07-04	Infratestdimap	afd	
2013-07-04	Infratestdimap	lin	7.0
2013-07-04	Infratestdimap	son	5.0
2013-07-04	Infratestdimap	fdp	4.0
2013-07-04	Infratestdimap	rep	
2013-07-04	Infratestdimap	pir	3.0
2013-07-04	Infratestdimap	spd	25.0
2013-07-03	Forsa	gru	14.0
2013-07-03	Forsa	cdu	41.0
2013-07-03	Forsa	afd	2.0
2013-07-03	Forsa	lin	9.0
2013-07-03	Forsa	son	5.0
2013-07-03	Forsa	fdp	5.0
2013-07-03	Forsa	rep	
2013-07-03	Forsa	pir	2.0
2013-07-03	Forsa	spd	22.0
2013-06-30	Emnid	gru	13.0
2013-06-30	Emnid	cdu	41.0
2013-06-30	Emnid	afd	2.0
2013-06-30	Emnid	lin	7.0
2013-06-30	Emnid	son	4.0
2013-06-30	Emnid	fdp	5.0
2013-06-30	Emnid	rep	
2013-06-30	Emnid	pir	3.0
2013-06-30	Emnid	spd	25.0
2013-06-28	Infratestdimap	gru	13.0
2013-06-28	Infratestdimap	cdu	41.0
2013-06-28	Infratestdimap	afd	
2013-06-28	Infratestdimap	lin	7.0
2013-06-28	Infratestdimap	son	6.0
2013-06-28	Infratestdimap	fdp	4.0
2013-06-28	Infratestdimap	rep	
2013-06-28	Infratestdimap	pir	3.0
2013-06-28	Infratestdimap	spd	26.0
2013-06-28	FGW	gru	13.0
2013-06-28	FGW	cdu	43.0
2013-06-28	FGW	afd	3.0
2013-06-28	FGW	lin	6.0
2013-06-28	FGW	son	5.0
2013-06-28	FGW	fdp	4.0
2013-06-28	FGW	rep	
2013-06-28	FGW	pir	
2013-06-28	FGW	spd	26.0
2013-06-26	Forsa	gru	15.0
2013-06-26	Forsa	cdu	41.0
2013-06-26	Forsa	afd	2.0
2013-06-26	Forsa	lin	8.0
2013-06-26	Forsa	son	5.0
2013-06-26	Forsa	fdp	5.0
2013-06-26	Forsa	rep	
2013-06-26	Forsa	pir	2.0
2013-06-26	Forsa	spd	22.0
2013-06-23	Emnid	gru	14.0
2013-06-23	Emnid	cdu	41.0
2013-06-23	Emnid	afd	2.0
2013-06-23	Emnid	lin	8.0
2013-06-23	Emnid	son	3.0
2013-06-23	Emnid	fdp	4.0
2013-06-23	Emnid	rep	
2013-06-23	Emnid	pir	3.0
2013-06-23	Emnid	spd	25.0
2013-06-21	Infratestdimap	gru	14.0
2013-06-21	Infratestdimap	cdu	41.0
2013-06-21	Infratestdimap	afd	
2013-06-21	Infratestdimap	lin	7.0
2013-06-21	Infratestdimap	son	8.0
2013-06-21	Infratestdimap	fdp	5.0
2013-06-21	Infratestdimap	rep	
2013-06-21	Infratestdimap	pir	
2013-06-21	Infratestdimap	spd	25.0
2013-06-19	Forsa	gru	15.0
2013-06-19	Forsa	cdu	40.0
2013-06-19	Forsa	afd	2.0
2013-06-19	Forsa	lin	8.0
2013-06-19	Forsa	son	5.0
2013-06-19	Forsa	fdp	6.0
2013-06-19	Forsa	rep	
2013-06-19	Forsa	pir	2.0
2013-06-19	Forsa	spd	22.0
2013-06-18	GMS	gru	14.0
2013-06-18	GMS	cdu	41.0
2013-06-18	GMS	afd	2.0
2013-06-18	GMS	lin	8.0
2013-06-18	GMS	son	3.0
2013-06-18	GMS	fdp	5.0
2013-06-18	GMS	rep	
2013-06-18	GMS	pir	2.0
2013-06-18	GMS	spd	25.0
2013-06-16	Emnid	gru	13.0
2013-06-16	Emnid	cdu	41.0
2013-06-16	Emnid	afd	2.0
2013-06-16	Emnid	lin	8.0
2013-06-16	Emnid	son	3.0
2013-06-16	Emnid	fdp	5.0
2013-06-16	Emnid	rep	
2013-06-16	Emnid	pir	3.0
2013-06-16	Emnid	spd	25.0
2013-06-14	Infratestdimap	gru	15.0
2013-06-14	Infratestdimap	cdu	41.0
2013-06-14	Infratestdimap	afd	2.0
2013-06-14	Infratestdimap	lin	7.0
2013-06-14	Infratestdimap	son	5.0
2013-06-14	Infratestdimap	fdp	4.0
2013-06-14	Infratestdimap	rep	
2013-06-14	Infratestdimap	pir	
2013-06-14	Infratestdimap	spd	26.0
2013-06-12	Forsa	gru	13.0
2013-06-12	Forsa	cdu	40.0
2013-06-12	Forsa	afd	2.0
2013-06-12	Forsa	lin	9.0
2013-06-12	Forsa	son	5.0
2013-06-12	Forsa	fdp	5.0
2013-06-12	Forsa	rep	
2013-06-12	Forsa	pir	2.0
2013-06-12	Forsa	spd	24.0
2013-06-09	Emnid	gru	13.0
2013-06-09	Emnid	cdu	41.0
2013-06-09	Emnid	afd	3.0
2013-06-09	Emnid	lin	7.0
2013-06-09	Emnid	son	3.0
2013-06-09	Emnid	fdp	4.0
2013-06-09	Emnid	rep	
2013-06-09	Emnid	pir	3.0
2013-06-09	Emnid	spd	26.0
2013-06-07	FGW	gru	13.0
2013-06-07	FGW	cdu	42.0
2013-06-07	FGW	afd	3.0
2013-06-07	FGW	lin	6.0
2013-06-07	FGW	son	4.0
2013-06-07	FGW	fdp	4.0
2013-06-07	FGW	rep	
2013-06-07	FGW	pir	
2013-06-07	FGW	spd	28.0
2013-06-06	Infratestdimap	gru	14.0
2013-06-06	Infratestdimap	cdu	41.0
2013-06-06	Infratestdimap	afd	3.0
2013-06-06	Infratestdimap	lin	6.0
2013-06-06	Infratestdimap	son	5.0
2013-06-06	Infratestdimap	fdp	4.0
2013-06-06	Infratestdimap	rep	
2013-06-06	Infratestdimap	pir	
2013-06-06	Infratestdimap	spd	27.0
2013-06-05	Forsa	gru	13.0
2013-06-05	Forsa	cdu	41.0
2013-06-05	Forsa	afd	3.0
2013-06-05	Forsa	lin	8.0
2013-06-05	Forsa	son	4.0
2013-06-05	Forsa	fdp	4.0
2013-06-05	Forsa	rep	
2013-06-05	Forsa	pir	3.0
2013-06-05	Forsa	spd	24.0
2013-06-02	Emnid	gru	14.0
2013-06-02	Emnid	cdu	40.0
2013-06-02	Emnid	afd	2.0
2013-06-02	Emnid	lin	7.0
2013-06-02	Emnid	son	2.0
2013-06-02	Emnid	fdp	5.0
2013-06-02	Emnid	rep	
2013-06-02	Emnid	pir	4.0
2013-06-02	Emnid	spd	26.0
2013-05-31	Infratestdimap	gru	14.0
2013-05-31	Infratestdimap	cdu	42.0
2013-05-31	Infratestdimap	afd	3.0
2013-05-31	Infratestdimap	lin	6.0
2013-05-31	Infratestdimap	son	5.0
2013-05-31	Infratestdimap	fdp	4.0
2013-05-31	Infratestdimap	rep	
2013-05-31	Infratestdimap	pir	
2013-05-31	Infratestdimap	spd	26.0
2013-05-28	Forsa	gru	14.0
2013-05-28	Forsa	cdu	40.0
2013-05-28	Forsa	afd	3.0
2013-05-28	Forsa	lin	8.0
2013-05-28	Forsa	son	4.0
2013-05-28	Forsa	fdp	4.0
2013-05-28	Forsa	rep	
2013-05-28	Forsa	pir	3.0
2013-05-28	Forsa	spd	24.0
2013-05-26	Emnid	gru	13.0
2013-05-26	Emnid	cdu	40.0
2013-05-26	Emnid	afd	2.0
2013-05-26	Emnid	lin	7.0
2013-05-26	Emnid	son	3.0
2013-05-26	Emnid	fdp	4.0
2013-05-26	Emnid	rep	
2013-05-26	Emnid	pir	4.0
2013-05-26	Emnid	spd	27.0
2013-05-24	Infratestdimap	gru	14.0
2013-05-24	Infratestdimap	cdu	41.0
2013-05-24	Infratestdimap	afd	2.0
2013-05-24	Infratestdimap	lin	6.0
2013-05-24	Infratestdimap	son	4.0
2013-05-24	Infratestdimap	fdp	4.0
2013-05-24	Infratestdimap	rep	
2013-05-24	Infratestdimap	pir	2.0
2013-05-24	Infratestdimap	spd	27.0
2013-05-22	Forsa	gru	13.0
2013-05-22	Forsa	cdu	41.0
2013-05-22	Forsa	afd	3.0
2013-05-22	Forsa	lin	8.0
2013-05-22	Forsa	son	4.0
2013-05-22	Forsa	fdp	4.0
2013-05-22	Forsa	rep	
2013-05-22	Forsa	pir	3.0
2013-05-22	Forsa	spd	24.0
2013-05-22	Allensbach	gru	13.0
2013-05-22	Allensbach	cdu	39.0
2013-05-22	Allensbach	afd	3.5
2013-05-22	Allensbach	lin	6.0
2013-05-22	Allensbach	son	3.0
2013-05-22	Allensbach	fdp	6.0
2013-05-22	Allensbach	rep	
2013-05-22	Allensbach	pir	2.5
2013-05-22	Allensbach	spd	27.0
2013-05-19	Emnid	gru	15.0
2013-05-19	Emnid	cdu	39.0
2013-05-19	Emnid	afd	3.0
2013-05-19	Emnid	lin	7.0
2013-05-19	Emnid	son	2.0
2013-05-19	Emnid	fdp	4.0
2013-05-19	Emnid	rep	
2013-05-19	Emnid	pir	4.0
2013-05-19	Emnid	spd	26.0
2013-05-17	Infratestdimap	gru	14.0
2013-05-17	Infratestdimap	cdu	41.0
2013-05-17	Infratestdimap	afd	3.0
2013-05-17	Infratestdimap	lin	6.0
2013-05-17	Infratestdimap	son	3.0
2013-05-17	Infratestdimap	fdp	4.0
2013-05-17	Infratestdimap	rep	
2013-05-17	Infratestdimap	pir	3.0
2013-05-17	Infratestdimap	spd	26.0
2013-05-17	FGW	gru	13.0
2013-05-17	FGW	cdu	41.0
2013-05-17	FGW	afd	3.0
2013-05-17	FGW	lin	6.0
2013-05-17	FGW	son	4.0
2013-05-17	FGW	fdp	4.0
2013-05-17	FGW	rep	
2013-05-17	FGW	pir	
2013-05-17	FGW	spd	29.0
2013-05-16	GMS	gru	14.0
2013-05-16	GMS	cdu	40.0
2013-05-16	GMS	afd	3.0
2013-05-16	GMS	lin	7.0
2013-05-16	GMS	son	4.0
2013-05-16	GMS	fdp	4.0
2013-05-16	GMS	rep	
2013-05-16	GMS	pir	3.0
2013-05-16	GMS	spd	25.0
2013-05-15	Forsa	gru	14.0
2013-05-15	Forsa	cdu	40.0
2013-05-15	Forsa	afd	2.0
2013-05-15	Forsa	lin	9.0
2013-05-15	Forsa	son	5.0
2013-05-15	Forsa	fdp	4.0
2013-05-15	Forsa	rep	
2013-05-15	Forsa	pir	3.0
2013-05-15	Forsa	spd	23.0
2013-05-12	Emnid	gru	15.0
2013-05-12	Emnid	cdu	38.0
2013-05-12	Emnid	afd	2.0
2013-05-12	Emnid	lin	8.0
2013-05-12	Emnid	son	3.0
2013-05-12	Emnid	fdp	4.0
2013-05-12	Emnid	rep	
2013-05-12	Emnid	pir	4.0
2013-05-12	Emnid	spd	26.0
2013-05-10	Infratestdimap	gru	14.0
2013-05-10	Infratestdimap	cdu	40.0
2013-05-10	Infratestdimap	afd	3.0
2013-05-10	Infratestdimap	lin	6.0
2013-05-10	Infratestdimap	son	5.0
2013-05-10	Infratestdimap	fdp	5.0
2013-05-10	Infratestdimap	rep	
2013-05-10	Infratestdimap	pir	
2013-05-10	Infratestdimap	spd	27.0
2013-05-07	Forsa	gru	15.0
2013-05-07	Forsa	cdu	39.0
2013-05-07	Forsa	afd	3.0
2013-05-07	Forsa	lin	8.0
2013-05-07	Forsa	son	5.0
2013-05-07	Forsa	fdp	4.0
2013-05-07	Forsa	rep	
2013-05-07	Forsa	pir	2.0
2013-05-07	Forsa	spd	24.0
2013-05-05	Emnid	gru	15.0
2013-05-05	Emnid	cdu	37.0
2013-05-05	Emnid	afd	2.0
2013-05-05	Emnid	lin	7.0
2013-05-05	Emnid	son	3.0
2013-05-05	Emnid	fdp	5.0
2013-05-05	Emnid	rep	
2013-05-05	Emnid	pir	4.0
2013-05-05	Emnid	spd	27.0
2013-05-02	Infratestdimap	gru	15.0
2013-05-02	Infratestdimap	cdu	40.0
2013-05-02	Infratestdimap	afd	3.0
2013-05-02	Infratestdimap	lin	7.0
2013-05-02	Infratestdimap	son	5.0
2013-05-02	Infratestdimap	fdp	4.0
2013-05-02	Infratestdimap	rep	
2013-05-02	Infratestdimap	pir	
2013-05-02	Infratestdimap	spd	26.0
2013-05-01	Forsa	gru	14.0
2013-05-01	Forsa	cdu	39.0
2013-05-01	Forsa	afd	3.0
2013-05-01	Forsa	lin	8.0
2013-05-01	Forsa	son	5.0
2013-05-01	Forsa	fdp	5.0
2013-05-01	Forsa	rep	
2013-05-01	Forsa	pir	3.0
2013-05-01	Forsa	spd	23.0
2013-04-28	Emnid	gru	14.0
2013-04-28	Emnid	cdu	40.0
2013-04-28	Emnid	afd	2.0
2013-04-28	Emnid	lin	7.0
2013-04-28	Emnid	son	3.0
2013-04-28	Emnid	fdp	4.0
2013-04-28	Emnid	rep	
2013-04-28	Emnid	pir	3.0
2013-04-28	Emnid	spd	27.0
2013-04-26	Infratestdimap	gru	14.0
2013-04-26	Infratestdimap	cdu	40.0
2013-04-26	Infratestdimap	afd	3.0
2013-04-26	Infratestdimap	lin	7.0
2013-04-26	Infratestdimap	son	3.0
2013-04-26	Infratestdimap	fdp	4.0
2013-04-26	Infratestdimap	rep	
2013-04-26	Infratestdimap	pir	2.0
2013-04-26	Infratestdimap	spd	27.0
2013-04-26	FGW	gru	14.0
2013-04-26	FGW	cdu	40.0
2013-04-26	FGW	afd	3.0
2013-04-26	FGW	lin	6.0
2013-04-26	FGW	son	5.0
2013-04-26	FGW	fdp	4.0
2013-04-26	FGW	rep	
2013-04-26	FGW	pir	
2013-04-26	FGW	spd	28.0
2013-04-24	Forsa	gru	14.0
2013-04-24	Forsa	cdu	42.0
2013-04-24	Forsa	afd	2.0
2013-04-24	Forsa	lin	7.0
2013-04-24	Forsa	son	4.0
2013-04-24	Forsa	fdp	5.0
2013-04-24	Forsa	rep	
2013-04-24	Forsa	pir	3.0
2013-04-24	Forsa	spd	23.0
2013-04-21	Infratestdimap	gru	14.0
2013-04-21	Infratestdimap	cdu	41.0
2013-04-21	Infratestdimap	afd	3.0
2013-04-21	Infratestdimap	lin	7.0
2013-04-21	Infratestdimap	son	4.0
2013-04-21	Infratestdimap	fdp	4.0
